epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4845,1.51193,1.55641,1.50971,0.38005,0.56749,0.43079,0.15613,2.06034,4.84927,2.12308,0.000659498,0.000659498,0.000659498
2,68.2083,1.63585,1.50567,1.58887,0.33909,0.2562,0.20384,0.06752,2.78167,3.09025,2.46195,0.00129991,0.00129991,0.00129991
3,101.269,1.63403,1.48236,1.56594,0.55566,0.51675,0.46556,0.20069,2.225,2.29115,2.43734,0.00191392,0.00191392,0.00191392
4,136.348,1.63842,1.49818,1.55877,0.38211,0.38292,0.33589,0.13133,2.10032,2.60815,1.90558,0.0018812,0.0018812,0.0018812
5,169.986,1.56983,1.41752,1.52954,0.55373,0.46832,0.48361,0.20821,2.06952,1.71624,1.80816,0.0018416,0.0018416,0.0018416
6,203.4,1.51023,1.32042,1.46559,0.597,0.57576,0.57712,0.29205,1.82067,1.65118,1.72141,0.001802,0.001802,0.001802
7,238.094,1.49503,1.29334,1.46098,0.60386,0.57851,0.58176,0.27645,1.82505,1.69945,1.66936,0.0017624,0.0017624,0.0017624
8,272.23,1.45443,1.25629,1.43354,0.70764,0.54545,0.59811,0.28031,1.90564,1.53297,1.7456,0.0017228,0.0017228,0.0017228
9,304.368,1.42353,1.18965,1.4053,0.70562,0.53444,0.58973,0.28297,1.82788,1.60237,1.72208,0.0016832,0.0016832,0.0016832
10,337.852,1.39577,1.13608,1.38758,0.67984,0.61422,0.6445,0.32156,1.73236,1.38083,1.61671,0.0016436,0.0016436,0.0016436
11,372.049,1.36651,1.14512,1.38413,0.70632,0.72879,0.76085,0.37946,1.7608,1.1281,1.5565,0.001604,0.001604,0.001604
12,407.977,1.35514,1.09643,1.35599,0.70206,0.72055,0.74081,0.36365,1.75872,1.14125,1.57218,0.0015644,0.0015644,0.0015644
13,440.153,1.34415,1.08648,1.35469,0.71635,0.66094,0.70194,0.34232,1.64619,1.23072,1.5414,0.0015248,0.0015248,0.0015248
14,472.568,1.33164,1.0719,1.34434,0.80625,0.59229,0.6412,0.33413,1.8416,1.43265,1.69345,0.0014852,0.0014852,0.0014852
15,506.829,1.31043,1.04892,1.33588,0.84719,0.68728,0.7943,0.38039,1.73394,1.0413,1.56166,0.0014456,0.0014456,0.0014456
16,540.308,1.3056,1.03254,1.33138,0.77117,0.73341,0.77488,0.39987,1.57875,1.05015,1.47017,0.001406,0.001406,0.001406
17,575.107,1.27876,0.98648,1.30595,0.82172,0.67298,0.75104,0.37181,1.79451,1.1155,1.57712,0.0013664,0.0013664,0.0013664
18,607.065,1.26604,0.9855,1.29914,0.8036,0.7665,0.83479,0.45144,1.5746,0.99237,1.429,0.0013268,0.0013268,0.0013268
19,642.9,1.24425,0.96887,1.28642,0.75082,0.81543,0.80128,0.43219,1.63067,0.95438,1.47397,0.0012872,0.0012872,0.0012872
20,674.92,1.23808,0.94897,1.28288,0.80967,0.80441,0.84615,0.46464,1.54988,0.92856,1.4429,0.0012476,0.0012476,0.0012476
21,708.492,1.2328,0.93641,1.28234,0.87357,0.76309,0.85372,0.45656,1.54932,0.85348,1.44616,0.001208,0.001208,0.001208
22,741.844,1.21028,0.91668,1.2684,0.82941,0.80165,0.86552,0.49349,1.56362,0.889,1.43269,0.0011684,0.0011684,0.0011684
23,777.214,1.22292,0.9041,1.27683,0.83939,0.79614,0.86725,0.49469,1.48425,0.8497,1.37955,0.0011288,0.0011288,0.0011288
24,811.974,1.20847,0.88632,1.26331,0.81254,0.77617,0.82523,0.45177,1.54823,0.97686,1.40329,0.0010892,0.0010892,0.0010892
25,844.066,1.18792,0.86071,1.25403,0.88753,0.75207,0.85841,0.45573,1.62324,0.85771,1.52265,0.0010496,0.0010496,0.0010496
26,876.492,1.17623,0.86139,1.24626,0.88374,0.8167,0.88947,0.48032,1.51999,0.79924,1.41045,0.00101,0.00101,0.00101
27,911.164,1.16443,0.83446,1.23315,0.8395,0.78788,0.85672,0.45227,1.61713,0.90932,1.47373,0.0009704,0.0009704,0.0009704
28,943.245,1.15872,0.84628,1.23974,0.82173,0.7989,0.84183,0.48712,1.55205,0.87551,1.42825,0.0009308,0.0009308,0.0009308
29,976.8,1.15734,0.82223,1.23425,0.83177,0.80716,0.85348,0.48394,1.52952,0.85808,1.43277,0.0008912,0.0008912,0.0008912
30,1008.92,1.13749,0.82293,1.22392,0.87262,0.83036,0.88674,0.49948,1.53345,0.83584,1.41212,0.0008516,0.0008516,0.0008516
31,1043.26,1.13615,0.82456,1.22629,0.85719,0.78788,0.86775,0.49465,1.55161,0.87677,1.43878,0.000812,0.000812,0.000812
32,1076.58,1.11782,0.7961,1.21336,0.86233,0.82825,0.87975,0.48184,1.5492,0.83269,1.43548,0.0007724,0.0007724,0.0007724
33,1108.21,1.12027,0.77769,1.21206,0.90295,0.81267,0.88172,0.505,1.5194,0.77474,1.40033,0.0007328,0.0007328,0.0007328
34,1141.57,1.10232,0.7761,1.20269,0.85474,0.8105,0.85192,0.48093,1.5406,0.79161,1.43889,0.0006932,0.0006932,0.0006932
35,1176.17,1.09488,0.7644,1.19626,0.8304,0.81818,0.85489,0.4753,1.56102,0.82937,1.46626,0.0006536,0.0006536,0.0006536
36,1208.29,1.09164,0.75989,1.19348,0.88006,0.84573,0.88734,0.51241,1.46086,0.77621,1.35084,0.000614,0.000614,0.000614
37,1242.63,1.05514,0.71971,1.18339,0.87079,0.83545,0.89361,0.50319,1.51398,0.75771,1.40716,0.0005744,0.0005744,0.0005744
38,1275.96,1.06431,0.73629,1.18649,0.82527,0.85399,0.88282,0.48003,1.59822,0.75538,1.46672,0.0005348,0.0005348,0.0005348
39,1314.31,1.05036,0.72584,1.17787,0.8504,0.80165,0.85379,0.49032,1.59581,0.78502,1.48087,0.0004952,0.0004952,0.0004952
40,1349.22,1.06188,0.72853,1.18242,0.88819,0.84573,0.9118,0.51227,1.53626,0.71321,1.44208,0.0004556,0.0004556,0.0004556
41,1385.43,0.92369,0.51907,1.0972,0.86005,0.8595,0.89077,0.52864,1.47725,0.70603,1.40274,0.000416,0.000416,0.000416
42,1418.38,0.90431,0.48596,1.0855,0.85538,0.83196,0.8847,0.50933,1.5509,0.76636,1.45884,0.0003764,0.0003764,0.0003764
43,1452.75,0.88216,0.4644,1.08233,0.85727,0.86039,0.89803,0.50805,1.50999,0.71473,1.41611,0.0003368,0.0003368,0.0003368
44,1483.7,0.86203,0.45094,1.07381,0.88354,0.83599,0.90646,0.51755,1.47748,0.70357,1.40916,0.0002972,0.0002972,0.0002972
45,1514.21,0.84702,0.44602,1.06154,0.85452,0.84298,0.88222,0.49674,1.57537,0.75239,1.4916,0.0002576,0.0002576,0.0002576
46,1545.92,0.83798,0.4395,1.05263,0.87638,0.87052,0.90072,0.51783,1.50878,0.69013,1.43966,0.000218,0.000218,0.000218
47,1580.52,0.81543,0.42484,1.04079,0.88109,0.85735,0.89744,0.50467,1.58197,0.70086,1.5176,0.0001784,0.0001784,0.0001784
48,1611.56,0.79974,0.41496,1.03828,0.89224,0.86672,0.89909,0.51416,1.53258,0.66672,1.48614,0.0001388,0.0001388,0.0001388
49,1642.56,0.79677,0.40743,1.03567,0.88451,0.86226,0.89915,0.51244,1.54366,0.67572,1.50245,9.92e-05,9.92e-05,9.92e-05
50,1674.39,0.76803,0.3979,1.02261,0.8799,0.85675,0.89706,0.52856,1.50064,0.66375,1.45159,5.96e-05,5.96e-05,5.96e-05
